country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Singapore,12.0510426706057,23.1182504230128,29.1045853480599,42.4169107910567,70.0992524175235,75.1477785737898,82.1632367504031,87.5417579324776,95.9266450937681,102.780145986907,108.586142035463,129.209094037943,134.419732887195,139.108245739433,145.182719941617,149.48535380083
Ireland,7.93193378401889,14.8507027516036,25.5214427330929,44.7087333991834,64.6987996151197,76.8271673280184,76.2237533033469,87.2707832876949,94.4764097789448,102.692565394962,110.971605336705,115.83360869936,115.972488011347,106.625204179067,105.180742298485,108.408454457354
Antigua and Barbuda,1.84528034066714,1.93578717402727,2.02183582693085,11.1864183720471,28.3300710827238,31.5796122023622,47.4555007639087,56.4149003867052,65.1874743475217,102.483435816769,129.693238534702,130.774422528655,157.217343262624,153.669620281998,189.347311464322,181.641967593626
Aruba,3.61145553696325,3.99478634586254,6.1962292835178,13.5682141968748,16.6166321409977,57.3822851141691,65.3304579474819,72.2085161290323,99.3366718494437,102.3971246386,106.152213492226,108.981530343008,114.479843829957,120.061531534912,122.618338791307,
Sweden,28.1664001294841,35.7919993530559,46.4154801104754,57.9046317718399,71.9208799215996,80.8604507232268,89.2962357968827,98.4959585432849,97.8506821980259,100.826804159106,105.679349251934,110.429418120033,108.413324337503,112.1241183919,116.052977034308,118.571125780619
Kuwait,9.27837014470678,12.5088455407753,14.1748025308259,16.1532012683494,24.5261455925589,43.6865665997209,59.2806317083258,66.7674133645792,91.3456817470775,100.573583025547,107.593598988875,113.312672755899,114.073767703115,146.469429230249,160.775698899271,
Denmark,25.0530663552553,27.3613699633089,36.4382811012578,49.4049605975993,62.9937516633109,73.9380943623619,83.376709126345,88.5339680456095,95.6785944432511,100.549170726739,107.083193389095,115.338271352116,119.276257196244,123.689390925476,125.780565614357,126.458162930944
Finland,29.3063634680324,42.0795068236517,55.2508588583552,63.41410636779,72.0734260259753,80.5292583864013,86.9060407268767,91.1052576529168,95.4446240356276,100.489251082405,107.673165796166,114.924474017334,128.471988404039,144.153022364686,156.397204907927,166.023804173623
Spain,7.58522854080066,10.9513850660709,16.2013355150734,37.5572399847705,60.228315519753,72.7444298711139,81.0618133914389,88.5347670540773,90.3830825787794,98.3838717067076,103.810210153886,108.559889539109,109.916837404331,111.932498173183,111.988715234843,114.233016778964
Netherlands,6.5476059284705,11.0023076651482,21.3565929637961,42.7590017249498,67.8000293138202,76.4725063161902,75.4085068897512,81.7959971889442,91.216745718098,97.1085937671051,105.605344353347,117.280505596047,124.987404006105,121.678083838005,115.445818657065,
Germany,6.70556894215988,10.0527149260066,16.8948647249323,28.4740831617867,58.5337820688519,68.1270945749635,71.7294028415606,78.5605848379696,86.4254078339042,96.0386361454796,103.775148771802,116.622932073648,127.945096415627,127.418888321167,127.043582473502,132.298778790989
Iceland,17.3275482287436,23.9587151255699,37.8363472758411,62.0014870529412,76.4183350520963,87.372531620609,90.8136116854904,96.5298007759109,98.9979658980765,95.4051148637036,100.302979967443,106.665227445939,108.451520282232,107.660445644492,106.541282454957,106.079243817169
